iter	Passed	Remaining
0	134	134833
1	137	68436
2	138	46133
3	140	34935
4	142	28263
5	143	23764
6	144	20533
7	145	18079
8	146	16160
9	147	14607
10	148	13342
11	149	12294
12	150	11404
13	151	10641
14	152	9982
15	152	9399
16	153	8889
17	154	8439
18	155	8036
19	156	7671
20	157	7342
21	158	7044
22	159	6773
23	160	6519
24	161	6284
25	161	6068
26	162	5866
27	163	5682
28	164	5509
29	165	5347
30	166	5195
31	167	5053
32	167	4919
33	168	4793
34	169	4676
35	170	4566
36	171	4461
37	172	4366
38	173	4271
39	174	4181
40	175	4095
41	175	4012
42	176	3933
43	178	3869
44	178	3797
45	179	3728
46	180	3661
47	181	3597
48	182	3536
49	183	3477
50	183	3421
51	184	3368
52	185	3317
53	186	3267
54	187	3218
55	188	3171
56	188	3126
57	189	3082
58	190	3040
59	191	2998
60	192	2959
61	193	2921
62	193	2884
63	194	2848
64	195	2813
65	196	2779
66	197	2747
67	197	2710
68	198	2679
69	199	2650
70	200	2621
71	201	2593
72	202	2565
73	202	2538
74	203	2511
75	204	2485
76	205	2460
77	206	2435
78	206	2411
79	207	2388
80	208	2365
81	209	2342
82	210	2321
83	210	2299
84	211	2276
85	212	2255
86	212	2233
87	213	2214
88	214	2196
89	215	2178
90	216	2160
91	217	2143
92	217	2125
93	218	2108
94	219	2092
95	220	2075
96	221	2060
97	222	2045
98	223	2029
99	223	2014
100	224	1999
101	225	1982
102	225	1967
103	226	1953
104	227	1939
105	228	1926
106	229	1913
107	230	1900
108	231	1888
109	231	1876
110	233	1867
111	234	1859
112	235	1851
113	237	1842
114	238	1833
115	239	1822
116	240	1814
117	241	1805
118	242	1795
119	243	1787
120	245	1779
121	246	1772
122	246	1760
123	248	1753
124	250	1750
125	251	1745
126	253	1739
127	253	1728
128	254	1721
129	256	1715
130	257	1710
131	259	1703
132	260	1696
133	261	1688
134	262	1680
135	263	1673
136	264	1665
137	265	1657
138	266	1648
139	267	1641
140	268	1633
141	269	1628
142	270	1623
143	272	1618
144	273	1613
145	274	1607
146	276	1602
147	277	1595
148	277	1587
149	278	1579
150	279	1571
151	280	1564
152	281	1556
153	281	1549
154	282	1541
155	283	1534
156	284	1526
157	285	1519
158	285	1512
159	286	1505
160	287	1498
161	288	1493
162	289	1487
163	290	1481
164	291	1475
165	292	1469
166	293	1462
167	294	1456
168	294	1450
169	295	1444
170	296	1437
171	297	1431
172	298	1425
173	299	1419
174	299	1413
175	300	1407
176	301	1402
177	302	1396
178	303	1390
179	304	1385
180	304	1379
181	305	1373
182	306	1368
183	307	1362
184	308	1358
185	309	1353
186	310	1348
187	310	1343
188	311	1337
189	312	1332
190	313	1327
191	314	1322
192	315	1317
193	315	1312
194	317	1308
195	317	1304
196	318	1299
197	319	1294
198	320	1289
199	321	1285
200	322	1280
201	322	1275
202	323	1270
203	324	1266
204	325	1261
205	326	1257
206	326	1252
207	327	1248
208	328	1243
209	329	1239
210	330	1234
211	331	1230
212	332	1226
213	333	1223
214	333	1219
215	334	1215
216	335	1211
217	336	1206
218	337	1202
219	338	1198
220	338	1194
221	339	1190
222	340	1186
223	341	1182
224	342	1178
225	342	1174
226	343	1170
227	344	1166
228	345	1163
229	346	1160
230	347	1157
231	349	1155
232	350	1152
233	351	1149
