iter	Passed	Remaining
0	187	186978
1	189	94470
2	190	63308
3	191	47719
4	192	38322
5	193	32048
6	201	28519
7	203	25226
8	220	24260
9	222	21986
10	223	20127
11	232	19175
12	234	17812
13	236	16642
14	238	15649
15	243	14956
16	244	14161
17	246	13437
18	247	12779
19	248	12175
20	249	11623
21	250	11150
22	252	10744
23	254	10366
24	256	9986
25	258	9667
26	259	9342
27	260	9043
28	262	8781
29	263	8517
30	265	8306
31	269	8150
32	271	7948
33	274	7799
34	276	7623
35	280	7516
36	282	7365
37	286	7244
38	287	7089
39	289	6936
40	290	6791
41	291	6650
42	292	6513
43	295	6424
44	299	6356
45	301	6242
46	302	6125
47	303	6019
48	304	5915
49	305	5813
50	310	5771
51	319	5818
52	322	5764
53	329	5772
54	331	5687
55	332	5603
56	334	5529
57	337	5474
58	340	5425
59	341	5355
60	343	5289
61	344	5216
62	346	5149
63	347	5087
64	349	5022
65	351	4972
66	355	4957
67	357	4901
68	358	4841
69	360	4785
70	361	4731
71	362	4678
72	364	4623
73	367	4593
74	368	4544
75	370	4502
76	372	4464
77	373	4415
78	376	4390
79	378	4349
80	380	4315
81	383	4287
82	385	4255
83	386	4214
84	387	4174
85	388	4131
86	390	4096
87	391	4058
88	392	4020
89	395	4001
90	398	3985
91	400	3954
92	402	3926
93	403	3891
94	404	3857
95	405	3821
96	406	3786
97	407	3752
98	410	3732
99	412	3714
100	414	3689
101	415	3661
102	417	3639
103	419	3613
104	420	3586
105	421	3556
106	422	3526
107	425	3517
108	428	3505
109	430	3483
110	432	3464
111	434	3447
112	435	3422
113	437	3397
114	441	3395
115	445	3398
116	447	3377
117	449	3358
118	450	3337
119	452	3314
120	466	3390
121	468	3369
122	472	3368
123	474	3349
124	475	3329
125	478	3318
126	480	3305
127	483	3293
128	485	3278
129	488	3271
130	491	3262
131	493	3247
132	505	3292
133	506	3276
134	508	3257
135	509	3237
136	512	3230
137	515	3219
138	518	3210
139	519	3192
140	520	3173
141	522	3155
142	524	3144
143	531	3160
144	534	3151
145	536	3137
146	537	3118
147	538	3099
148	539	3080
149	540	3062
150	542	3050
151	544	3038
152	546	3023
153	547	3008
154	548	2992
155	550	2977
156	552	2964
157	553	2947
158	554	2930
159	556	2919
160	557	2906
161	561	2904
162	562	2890
163	563	2874
164	564	2858
165	566	2845
166	567	2830
167	568	2816
168	570	2807
169	575	2811
170	577	2798
171	578	2784
172	579	2770
173	580	2757
174	582	2744
175	582	2729
176	585	2723
177	589	2721
178	590	2710
179	592	2698
180	593	2687
181	595	2676
182	596	2663
183	597	2649
184	598	2638
185	601	2632
186	604	2626
187	607	2622
188	608	2611
189	609	2599
190	610	2587
191	611	2574
192	613	2566
193	618	2568
194	619	2558
195	621	2548
196	622	2537
197	623	2526
198	625	2516
199	626	2506
200	627	2496
201	631	2493
202	632	2484
203	634	2476
204	636	2468
205	651	2511
206	653	2501
207	654	2492
208	655	2481
209	656	2470
210	657	2460
211	661	2457
212	663	2451
213	664	2441
214	665	2430
215	666	2419
216	668	2410
217	669	2399
218	669	2389
219	670	2378
220	671	2367
221	672	2357
222	675	2353
223	678	2351
224	680	2343
225	681	2334
226	685	2332
227	686	2324
228	687	2315
229	694	2323
230	695	2315
231	696	2306
232	697	2297
233	699	2289
234	700	2280
235	701	2272
236	702	2262
237	706	2262
238	708	2256
239	711	2252
240	712	2243
241	713	2235
242	714	2227
243	716	2218
244	717	2209
245	719	2206
246	722	2201
247	723	2194
248	725	2188
249	726	2180
250	728	2174
251	729	2166
